IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.19.94.28,4,4,0.00,105.25,0.00
104.19.53.28,4,4,0.00,105.34,0.00
104.18.100.28,4,4,0.00,105.53,0.00
104.19.93.28,4,4,0.00,105.53,0.00
104.18.98.28,4,4,0.00,105.54,0.00
104.19.175.28,4,4,0.00,105.58,0.00
104.19.49.28,4,4,0.00,105.60,0.00
104.19.18.28,4,4,0.00,105.62,0.00
104.19.76.28,4,4,0.00,105.74,0.00
104.17.246.28,4,4,0.00,105.74,0.00
104.19.72.28,4,4,0.00,105.75,0.00
104.19.102.28,4,4,0.00,105.76,0.00
104.18.99.28,4,4,0.00,105.78,0.00
104.19.174.28,4,4,0.00,105.84,0.00
104.17.223.28,4,4,0.00,105.89,0.00
104.17.242.28,4,4,0.00,105.89,0.00
104.19.97.28,4,4,0.00,105.98,0.00
104.19.103.28,4,4,0.00,106.00,0.00
104.19.47.28,4,4,0.00,106.04,0.00
104.18.93.28,4,4,0.00,106.14,0.00
104.18.97.28,4,4,0.00,106.21,0.00
104.19.3.28,4,4,0.00,106.32,0.00
104.19.168.28,4,4,0.00,106.33,0.00
104.19.170.28,4,4,0.00,106.36,0.00
104.17.245.28,4,4,0.00,106.38,0.00
104.17.255.28,4,4,0.00,106.42,0.00
104.19.66.28,4,4,0.00,106.46,0.00
104.19.68.28,4,4,0.00,106.50,0.00
104.19.172.28,4,4,0.00,106.59,0.00
104.19.32.28,4,4,0.00,106.65,0.00
104.19.29.28,4,4,0.00,106.74,0.00
104.19.10.28,4,4,0.00,106.82,0.00
104.19.166.28,4,4,0.00,106.83,0.00
104.19.13.28,4,4,0.00,106.87,0.00
104.19.70.28,4,4,0.00,106.99,0.00
104.19.1.28,4,4,0.00,107.01,0.00
104.19.25.28,4,4,0.00,107.02,0.00
104.17.222.28,4,4,0.00,107.13,0.00
104.17.211.28,4,4,0.00,107.16,0.00
104.19.2.28,4,4,0.00,107.26,0.00
104.19.252.28,4,4,0.00,107.37,0.00
104.17.217.28,4,4,0.00,107.39,0.00
104.19.63.28,4,4,0.00,107.44,0.00
104.19.171.28,4,4,0.00,107.46,0.00
104.19.5.28,4,4,0.00,107.60,0.00
104.17.210.28,4,4,0.00,107.64,0.00
104.17.220.28,4,4,0.00,107.64,0.00
104.16.207.28,4,4,0.00,107.68,0.00
104.17.244.28,4,4,0.00,107.76,0.00
104.17.208.28,4,4,0.00,107.89,0.00
104.17.241.28,4,4,0.00,107.89,0.00
104.17.170.28,4,4,0.00,107.91,0.00
104.19.9.28,4,4,0.00,108.00,0.00
104.19.7.28,4,4,0.00,108.01,0.00
104.17.221.28,4,4,0.00,108.14,0.00
104.19.26.28,4,4,0.00,108.15,0.00
104.19.27.28,4,4,0.00,108.19,0.00
104.17.250.28,4,4,0.00,108.19,0.00
104.17.166.28,4,4,0.00,108.24,0.00
104.17.203.28,4,4,0.00,108.39,0.00
104.17.206.28,4,4,0.00,108.39,0.00
104.19.75.28,4,4,0.00,108.53,0.00
104.17.201.28,4,4,0.00,108.59,0.00
104.19.92.28,4,4,0.00,108.65,0.00
104.17.219.28,4,4,0.00,108.89,0.00
104.17.200.28,4,4,0.00,108.96,0.00
104.17.167.28,4,4,0.00,109.00,0.00
104.17.216.28,4,4,0.00,109.14,0.00
104.19.67.28,4,4,0.00,109.15,0.00
104.17.205.28,4,4,0.00,109.38,0.00
104.17.215.28,4,4,0.00,109.39,0.00
104.17.218.28,4,4,0.00,109.39,0.00
104.17.207.28,4,4,0.00,109.39,0.00
104.17.204.28,4,4,0.00,109.64,0.00
104.19.30.28,4,4,0.00,109.82,0.00
104.17.213.28,4,4,0.00,109.89,0.00
104.17.240.28,4,4,0.00,109.99,0.00
104.18.89.28,4,4,0.00,110.48,0.00
104.19.28.28,4,4,0.00,110.49,0.00
104.17.214.28,4,4,0.00,110.51,0.00
104.17.185.28,4,4,0.00,110.62,0.00
104.17.202.28,4,4,0.00,110.63,0.00
104.19.90.28,4,4,0.00,110.67,0.00
198.41.208.28,4,4,0.00,110.75,0.00
104.17.209.28,4,4,0.00,110.88,0.00
104.19.35.28,4,4,0.00,110.90,0.00
104.17.196.28,4,4,0.00,111.00,0.00
104.19.173.28,4,4,0.00,111.23,0.00
198.41.220.28,4,4,0.00,111.24,0.00
198.41.212.28,4,4,0.00,111.25,0.00
104.17.212.28,4,4,0.00,111.26,0.00
104.17.191.28,4,4,0.00,111.75,0.00
104.19.167.28,4,4,0.00,111.97,0.00
104.18.87.28,4,4,0.00,112.02,0.00
104.17.195.28,4,4,0.00,112.13,0.00
104.17.193.28,4,4,0.00,112.23,0.00
104.17.168.28,4,4,0.00,112.77,0.00
104.18.255.28,4,4,0.00,112.79,0.00
104.18.96.28,4,4,0.00,112.87,0.00
104.17.190.28,4,4,0.00,112.98,0.00
104.17.165.28,4,4,0.00,113.77,0.00
104.17.192.28,4,4,0.00,113.94,0.00
104.17.183.28,4,4,0.00,114.19,0.00
104.17.164.28,4,4,0.00,114.20,0.00
104.18.81.28,4,4,0.00,114.52,0.00
104.18.83.28,4,4,0.00,114.53,0.00
104.17.177.28,4,4,0.00,114.68,0.00
190.93.247.28,4,4,0.00,115.24,0.00
104.19.60.28,4,4,0.00,115.26,0.00
104.18.85.28,4,4,0.00,115.34,0.00
104.17.175.28,4,4,0.00,115.43,0.00
104.17.186.28,4,4,0.00,115.51,0.00
190.93.246.28,4,4,0.00,115.74,0.00
190.93.244.28,4,4,0.00,116.24,0.00
190.93.245.28,4,4,0.00,116.24,0.00
104.19.62.28,4,4,0.00,116.31,0.00
104.17.182.28,4,4,0.00,116.37,0.00
104.17.174.28,4,4,0.00,116.85,0.00
104.17.179.28,4,4,0.00,116.86,0.00
141.101.115.28,4,4,0.00,117.73,0.00
104.17.96.28,4,4,0.00,118.06,0.00
104.16.200.28,4,4,0.00,118.21,0.00
104.17.198.28,4,4,0.00,118.60,0.00
104.17.93.28,4,4,0.00,118.87,0.00
104.16.195.28,4,4,0.00,118.97,0.00
104.16.204.28,4,4,0.00,118.97,0.00
104.19.79.28,4,4,0.00,119.53,0.00
104.16.201.28,4,4,0.00,119.72,0.00
104.17.98.28,4,4,0.00,119.83,0.00
104.17.91.28,4,4,0.00,119.84,0.00
104.16.205.28,4,4,0.00,119.96,0.00
104.16.198.28,4,4,0.00,119.96,0.00
104.17.134.28,4,4,0.00,120.08,0.00
104.17.132.28,4,4,0.00,120.08,0.00
104.17.68.28,4,4,0.00,120.10,0.00
104.16.196.28,4,4,0.00,120.22,0.00
104.17.100.28,4,4,0.00,120.32,0.00
104.16.199.28,4,4,0.00,120.46,0.00
104.17.23.28,4,4,0.00,120.66,0.00
141.101.114.28,4,4,0.00,120.66,0.00
104.17.194.28,4,4,0.00,120.70,0.00
104.17.197.28,4,4,0.00,120.93,0.00
104.17.172.28,4,4,0.00,120.95,0.00
104.16.192.28,4,4,0.00,121.45,0.00
104.16.203.28,4,4,0.00,121.46,0.00
104.17.189.28,4,4,0.00,122.05,0.00
104.17.22.28,4,4,0.00,122.32,0.00
104.16.194.28,4,4,0.00,122.71,0.00
104.17.184.28,4,4,0.00,122.91,0.00
104.17.188.28,4,4,0.00,123.01,0.00
104.17.13.28,4,4,0.00,123.18,0.00
104.17.5.28,4,4,0.00,123.18,0.00
198.41.221.28,4,4,0.00,123.29,0.00
104.17.4.28,4,4,0.00,123.43,0.00
104.17.106.28,4,4,0.00,123.58,0.00
104.17.8.28,4,4,0.00,123.67,0.00
104.17.104.28,4,4,0.00,123.83,0.00
104.17.21.28,4,4,0.00,123.92,0.00
104.17.14.28,4,4,0.00,123.93,0.00
104.19.69.28,4,4,0.00,124.13,0.00
104.17.18.28,4,4,0.00,124.17,0.00
198.41.209.28,4,4,0.00,124.29,0.00
104.19.65.28,4,4,0.00,124.39,0.00
104.17.20.28,4,4,0.00,124.42,0.00
104.17.6.28,4,4,0.00,124.43,0.00
104.19.107.28,4,4,0.00,124.55,0.00
104.17.15.28,4,4,0.00,124.68,0.00
104.17.178.28,4,4,0.00,124.87,0.00
104.17.25.28,4,4,0.00,124.95,0.00
104.17.173.28,4,4,0.00,125.11,0.00
104.17.181.28,4,4,0.00,125.36,0.00
104.16.250.28,4,4,0.00,125.75,0.00
