IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.16.0.28,4,4,0.00,222.58,0.00
104.16.106.28,4,4,0.00,222.60,0.00
104.16.121.28,4,4,0.00,222.83,0.00
104.16.117.28,4,4,0.00,223.29,0.00
104.16.112.28,4,4,0.00,224.57,0.00
104.16.120.28,4,4,0.00,224.57,0.00
104.16.108.28,4,4,0.00,224.58,0.00
104.16.86.28,4,4,0.00,226.57,0.00
104.16.147.28,4,4,0.00,226.58,0.00
104.16.13.28,4,4,0.00,226.80,0.00
104.16.167.28,4,4,0.00,227.32,0.00
104.16.100.28,4,4,0.00,227.82,0.00
104.16.8.28,4,4,0.00,228.08,0.00
104.16.110.28,4,4,0.00,228.32,0.00
104.16.42.28,4,4,0.00,228.81,0.00
104.16.3.28,4,4,0.00,229.82,0.00
104.24.175.28,4,4,0.00,230.52,0.00
104.31.137.28,4,4,0.00,231.47,0.00
104.16.10.28,4,4,0.00,232.06,0.00
104.25.201.28,4,4,0.00,232.71,0.00
104.16.150.28,4,4,0.00,232.81,0.00
104.16.6.28,4,4,0.00,232.82,0.00
104.24.203.28,4,4,0.00,233.92,0.00
104.24.183.28,4,4,0.00,234.45,0.00
104.31.192.28,4,4,0.00,235.37,0.00
104.24.184.28,4,4,0.00,235.96,0.00
104.25.231.28,4,4,0.00,236.45,0.00
104.25.13.28,4,4,0.00,236.69,0.00
104.25.219.28,4,4,0.00,236.70,0.00
104.25.34.28,4,4,0.00,236.76,0.00
104.25.108.28,4,4,0.00,237.10,0.00
104.31.167.28,4,4,0.00,237.32,0.00
104.31.203.28,4,4,0.00,237.92,0.00
104.25.184.28,4,4,0.00,238.05,0.00
104.25.131.28,4,4,0.00,238.15,0.00
104.24.225.28,4,4,0.00,238.16,0.00
104.24.189.28,4,4,0.00,238.16,0.00
104.31.222.28,4,4,0.00,238.25,0.00
104.31.3.28,4,4,0.00,238.27,0.00
104.25.29.28,4,4,0.00,238.42,0.00
104.31.164.28,4,4,0.00,238.53,0.00
104.24.223.28,4,4,0.00,238.68,0.00
104.31.78.28,4,4,0.00,238.76,0.00
172.67.236.28,4,4,0.00,238.96,0.00
104.25.37.28,4,4,0.00,238.97,0.00
104.25.30.28,4,4,0.00,239.00,0.00
104.25.11.28,4,4,0.00,239.22,0.00
104.31.178.28,4,4,0.00,239.51,0.00
104.31.70.28,4,4,0.00,239.56,0.00
104.24.211.28,4,4,0.00,239.72,0.00
104.24.148.28,4,4,0.00,239.77,0.00
104.25.222.28,4,4,0.00,239.90,0.00
104.24.61.28,4,4,0.00,239.98,0.00
104.25.185.28,4,4,0.00,240.05,0.00
104.24.220.28,4,4,0.00,240.12,0.00
104.24.222.28,4,4,0.00,240.19,0.00
104.25.198.28,4,4,0.00,240.29,0.00
104.24.206.28,4,4,0.00,240.31,0.00
104.24.158.28,4,4,0.00,240.34,0.00
104.25.142.28,4,4,0.00,240.40,0.00
104.24.48.28,4,4,0.00,240.47,0.00
104.31.190.28,4,4,0.00,240.48,0.00
104.24.153.28,4,4,0.00,240.52,0.00
104.28.212.28,4,4,0.00,240.54,0.00
104.24.20.28,4,4,0.00,240.63,0.00
104.31.162.28,4,4,0.00,240.74,0.00
104.25.35.28,4,4,0.00,240.83,0.00
104.24.0.28,4,4,0.00,240.87,0.00
104.24.87.28,4,4,0.00,240.95,0.00
104.31.201.28,4,4,0.00,240.99,0.00
104.31.165.28,4,4,0.00,241.13,0.00
104.24.80.28,4,4,0.00,241.21,0.00
104.25.235.28,4,4,0.00,241.21,0.00
104.25.19.28,4,4,0.00,241.25,0.00
104.28.202.28,4,4,0.00,241.33,0.00
104.31.161.28,4,4,0.00,241.58,0.00
104.24.63.28,4,4,0.00,241.63,0.00
104.24.13.28,4,4,0.00,241.73,0.00
104.24.30.28,4,4,0.00,241.74,0.00
104.31.160.28,4,4,0.00,241.76,0.00
104.25.127.28,4,4,0.00,241.87,0.00
104.24.177.28,4,4,0.00,241.87,0.00
104.21.45.28,4,4,0.00,241.91,0.00
104.31.152.28,4,4,0.00,242.08,0.00
104.25.40.28,4,4,0.00,242.11,0.00
104.31.209.28,4,4,0.00,242.16,0.00
104.24.129.28,4,4,0.00,242.19,0.00
104.28.209.28,4,4,0.00,242.21,0.00
104.31.155.28,4,4,0.00,242.33,0.00
104.31.156.28,4,4,0.00,242.33,0.00
104.31.151.28,4,4,0.00,242.33,0.00
104.26.8.28,4,4,0.00,242.34,0.00
104.24.134.28,4,4,0.00,242.43,0.00
104.31.176.28,4,4,0.00,242.43,0.00
104.24.235.28,4,4,0.00,242.47,0.00
172.67.253.28,4,4,0.00,242.51,0.00
104.24.59.28,4,4,0.00,242.57,0.00
104.24.57.28,4,4,0.00,242.57,0.00
104.24.69.28,4,4,0.00,242.60,0.00
104.22.38.28,4,4,0.00,242.65,0.00
104.24.163.28,4,4,0.00,242.68,0.00
104.31.228.28,4,4,0.00,242.74,0.00
104.31.74.28,4,4,0.00,242.82,0.00
104.24.81.28,4,4,0.00,242.82,0.00
104.25.174.28,4,4,0.00,242.86,0.00
104.25.112.28,4,4,0.00,242.88,0.00
104.24.133.28,4,4,0.00,242.93,0.00
104.24.253.28,4,4,0.00,243.05,0.00
104.24.94.28,4,4,0.00,243.22,0.00
104.24.230.28,4,4,0.00,243.22,0.00
104.21.18.28,4,4,0.00,243.27,0.00
104.24.72.28,4,4,0.00,243.29,0.00
104.25.251.28,4,4,0.00,243.31,0.00
104.25.189.28,4,4,0.00,243.36,0.00
104.24.250.28,4,4,0.00,243.41,0.00
104.24.132.28,4,4,0.00,243.43,0.00
104.24.118.28,4,4,0.00,243.43,0.00
104.24.123.28,4,4,0.00,243.68,0.00
104.25.32.28,4,4,0.00,243.81,0.00
104.24.152.28,4,4,0.00,243.88,0.00
104.25.88.28,4,4,0.00,243.89,0.00
104.24.11.28,4,4,0.00,243.94,0.00
104.24.202.28,4,4,0.00,243.95,0.00
104.25.215.28,4,4,0.00,244.18,0.00
104.25.140.28,4,4,0.00,244.21,0.00
104.25.102.28,4,4,0.00,244.30,0.00
104.25.179.28,4,4,0.00,244.34,0.00
104.25.123.28,4,4,0.00,244.40,0.00
104.25.136.28,4,4,0.00,244.47,0.00
104.16.165.28,4,4,0.00,244.48,0.00
104.24.58.28,4,4,0.00,244.52,0.00
104.26.6.28,4,4,0.00,244.67,0.00
104.24.195.28,4,4,0.00,244.78,0.00
104.25.205.28,4,4,0.00,244.80,0.00
104.22.42.28,4,4,0.00,244.86,0.00
104.28.174.28,4,4,0.00,245.08,0.00
104.21.35.28,4,4,0.00,245.10,0.00
104.26.7.28,4,4,0.00,245.26,0.00
104.25.243.28,4,4,0.00,245.37,0.00
104.31.2.28,4,4,0.00,245.46,0.00
104.26.2.28,4,4,0.00,245.56,0.00
104.24.54.28,4,4,0.00,245.59,0.00
104.26.10.28,4,4,0.00,245.81,0.00
104.25.77.28,4,4,0.00,245.86,0.00
104.31.95.28,4,4,0.00,245.91,0.00
104.26.4.28,4,4,0.00,245.93,0.00
104.31.216.28,4,4,0.00,245.95,0.00
104.31.171.28,4,4,0.00,245.99,0.00
104.31.14.28,4,4,0.00,246.04,0.00
104.25.188.28,4,4,0.00,246.07,0.00
104.31.68.28,4,4,0.00,246.25,0.00
104.25.134.28,4,4,0.00,246.33,0.00
104.25.60.28,4,4,0.00,246.35,0.00
104.25.57.28,4,4,0.00,246.35,0.00
104.25.59.28,4,4,0.00,246.48,0.00
104.25.213.28,4,4,0.00,246.69,0.00
104.31.144.28,4,4,0.00,246.78,0.00
104.26.1.28,4,4,0.00,246.83,0.00
104.25.159.28,4,4,0.00,246.88,0.00
104.20.247.28,4,4,0.00,246.98,0.00
104.25.254.28,4,4,0.00,247.07,0.00
104.25.73.28,4,4,0.00,247.35,0.00
104.25.66.28,4,4,0.00,247.36,0.00
104.21.31.28,4,4,0.00,247.43,0.00
104.26.9.28,4,4,0.00,247.59,0.00
104.25.158.28,4,4,0.00,247.64,0.00
104.25.168.28,4,4,0.00,247.71,0.00
104.25.207.28,4,4,0.00,247.78,0.00
104.31.139.28,4,4,0.00,247.80,0.00
104.26.0.28,4,4,0.00,247.82,0.00
104.25.55.28,4,4,0.00,247.86,0.00
104.31.11.28,4,4,0.00,248.12,0.00
104.24.178.28,4,4,0.00,248.21,0.00
104.24.68.28,4,4,0.00,248.30,0.00
104.20.6.28,4,4,0.00,248.30,0.00
104.31.93.28,4,4,0.00,248.32,0.00
104.28.161.28,4,4,0.00,248.37,0.00
104.21.22.28,4,4,0.00,248.40,0.00
104.22.73.28,4,4,0.00,248.43,0.00
104.28.164.28,4,4,0.00,248.62,0.00
104.25.147.28,4,4,0.00,248.63,0.00
104.21.23.28,4,4,0.00,248.66,0.00
104.22.52.28,4,4,0.00,248.71,0.00
104.31.133.28,4,4,0.00,248.73,0.00
104.31.10.28,4,4,0.00,248.85,0.00
104.31.1.28,4,4,0.00,248.93,0.00
104.21.20.28,4,4,0.00,249.15,0.00
104.31.12.28,4,4,0.00,249.24,0.00
104.31.128.28,4,4,0.00,249.24,0.00
104.21.17.28,4,4,0.00,249.25,0.00
104.31.86.28,4,4,0.00,249.41,0.00
104.16.162.28,4,4,0.00,249.46,0.00
104.25.166.28,4,4,0.00,249.47,0.00
104.31.0.28,4,4,0.00,249.48,0.00
104.20.34.28,4,4,0.00,249.48,0.00
104.31.90.28,4,4,0.00,249.49,0.00
104.25.93.28,4,4,0.00,249.69,0.00
104.20.2.28,4,4,0.00,249.70,0.00
104.21.4.28,4,4,0.00,249.80,0.00
104.28.192.28,4,4,0.00,249.86,0.00
104.22.33.28,4,4,0.00,249.97,0.00
104.28.159.28,4,4,0.00,250.19,0.00
104.20.255.28,4,4,0.00,250.23,0.00
104.22.60.28,4,4,0.00,250.37,0.00
104.20.245.28,4,4,0.00,250.40,0.00
104.28.201.28,4,4,0.00,250.45,0.00
104.21.15.28,4,4,0.00,250.75,0.00
104.25.26.28,4,4,0.00,250.78,0.00
104.31.15.28,4,4,0.00,250.84,0.00
104.25.48.28,4,4,0.00,250.89,0.00
104.31.7.28,4,4,0.00,250.89,0.00
104.20.249.28,4,4,0.00,251.11,0.00
104.28.155.28,4,4,0.00,251.13,0.00
104.25.87.28,4,4,0.00,251.22,0.00
104.16.153.28,4,4,0.00,251.28,0.00
104.21.13.28,4,4,0.00,251.35,0.00
104.31.212.28,4,4,0.00,251.35,0.00
104.20.190.28,4,4,0.00,251.41,0.00
104.27.163.28,4,4,0.00,251.50,0.00
104.21.5.28,4,4,0.00,251.53,0.00
104.21.9.28,4,4,0.00,251.54,0.00
104.26.5.28,4,4,0.00,251.54,0.00
104.31.8.28,4,4,0.00,251.74,0.00
104.20.211.28,4,4,0.00,251.77,0.00
104.22.46.28,4,4,0.00,251.90,0.00
104.26.14.28,4,4,0.00,252.01,0.00
104.26.3.28,4,4,0.00,252.19,0.00
104.20.217.28,4,4,0.00,252.27,0.00
104.20.132.28,4,4,0.00,252.28,0.00
104.22.76.28,4,4,0.00,252.35,0.00
104.21.0.28,4,4,0.00,252.37,0.00
104.22.62.28,4,4,0.00,252.43,0.00
104.21.12.28,4,4,0.00,252.47,0.00
104.19.119.28,4,4,0.00,252.51,0.00
104.28.206.28,4,4,0.00,252.65,0.00
104.20.225.28,4,4,0.00,252.65,0.00
104.31.5.28,4,4,0.00,252.73,0.00
104.26.13.28,4,4,0.00,252.74,0.00
104.20.244.28,4,4,0.00,252.84,0.00
104.19.214.28,4,4,0.00,252.86,0.00
104.31.6.28,4,4,0.00,252.94,0.00
104.31.83.28,4,4,0.00,252.95,0.00
104.26.15.28,4,4,0.00,253.00,0.00
104.26.12.28,4,4,0.00,253.03,0.00
104.20.229.28,4,4,0.00,253.32,0.00
104.19.142.28,4,4,0.00,253.32,0.00
104.31.4.28,4,4,0.00,253.32,0.00
104.28.152.28,4,4,0.00,253.42,0.00
104.26.11.28,4,4,0.00,253.52,0.00
104.20.231.28,4,4,0.00,253.83,0.00
104.22.47.28,4,4,0.00,253.95,0.00
104.28.110.28,4,4,0.00,253.95,0.00
104.20.214.28,4,4,0.00,254.07,0.00
104.20.222.28,4,4,0.00,254.07,0.00
104.22.45.28,4,4,0.00,254.20,0.00
104.20.213.28,4,4,0.00,254.32,0.00
104.28.151.28,4,4,0.00,254.35,0.00
104.31.13.28,4,4,0.00,254.43,0.00
104.22.77.28,4,4,0.00,254.47,0.00
104.20.164.28,4,4,0.00,254.49,0.00
104.20.123.28,4,4,0.00,254.53,0.00
104.20.191.28,4,4,0.00,254.57,0.00
104.22.9.28,4,4,0.00,254.72,0.00
104.28.105.28,4,4,0.00,254.82,0.00
104.20.83.28,4,4,0.00,255.09,0.00
104.20.193.28,4,4,0.00,255.19,0.00
104.28.255.28,4,4,0.00,255.19,0.00
104.20.179.28,4,4,0.00,255.28,0.00
104.28.108.28,4,4,0.00,255.56,0.00
104.20.206.28,4,4,0.00,255.57,0.00
104.20.74.28,4,4,0.00,255.65,0.00
104.28.103.28,4,4,0.00,255.82,0.00
104.20.202.28,4,4,0.00,255.82,0.00
104.20.237.28,4,4,0.00,255.82,0.00
104.28.187.28,4,4,0.00,255.99,0.00
104.22.53.28,4,4,0.00,256.00,0.00
104.20.66.28,4,4,0.00,256.02,0.00
104.28.144.28,4,4,0.00,256.03,0.00
104.28.228.28,4,4,0.00,256.05,0.00
104.20.183.28,4,4,0.00,256.16,0.00
104.20.21.28,4,4,0.00,256.30,0.00
104.28.253.28,4,4,0.00,256.31,0.00
104.19.217.28,4,4,0.00,256.32,0.00
104.20.64.28,4,4,0.00,256.33,0.00
104.28.73.28,4,4,0.00,256.38,0.00
104.28.74.28,4,4,0.00,256.38,0.00
104.19.178.28,4,4,0.00,256.46,0.00
104.20.165.28,4,4,0.00,256.51,0.00
104.22.3.28,4,4,0.00,256.53,0.00
104.28.185.28,4,4,0.00,256.67,0.00
104.22.8.28,4,4,0.00,256.84,0.00
104.28.91.28,4,4,0.00,256.89,0.00
104.28.14.28,4,4,0.00,257.18,0.00
104.20.188.28,4,4,0.00,257.19,0.00
104.28.223.28,4,4,0.00,257.30,0.00
104.20.77.28,4,4,0.00,257.44,0.00
104.20.68.28,4,4,0.00,257.47,0.00
104.28.127.28,4,4,0.00,257.61,0.00
104.20.146.28,4,4,0.00,257.63,0.00
104.20.175.28,4,4,0.00,257.67,0.00
104.20.84.28,4,4,0.00,257.73,0.00
104.20.38.28,4,4,0.00,257.77,0.00
104.20.161.28,4,4,0.00,257.89,0.00
104.28.242.28,4,4,0.00,258.11,0.00
104.20.167.28,4,4,0.00,258.19,0.00
104.20.113.28,4,4,0.00,258.26,0.00
104.20.180.28,4,4,0.00,258.30,0.00
104.20.134.28,4,4,0.00,258.38,0.00
104.20.133.28,4,4,0.00,258.38,0.00
104.20.162.28,4,4,0.00,258.42,0.00
104.28.248.28,4,4,0.00,258.48,0.00
104.20.148.28,4,4,0.00,258.56,0.00
104.28.124.28,4,4,0.00,258.59,0.00
104.20.169.28,4,4,0.00,258.91,0.00
104.20.128.28,4,4,0.00,259.05,0.00
104.21.194.28,4,4,0.00,259.13,0.00
104.20.131.28,4,4,0.00,259.18,0.00
104.21.200.28,4,4,0.00,259.23,0.00
104.20.15.28,4,4,0.00,259.25,0.00
104.20.24.28,4,4,0.00,259.26,0.00
104.28.27.28,4,4,0.00,259.27,0.00
104.20.139.28,4,4,0.00,259.31,0.00
104.20.145.28,4,4,0.00,259.57,0.00
104.20.118.28,4,4,0.00,259.63,0.00
104.19.233.28,4,4,0.00,259.66,0.00
104.18.17.28,4,4,0.00,259.72,0.00
104.20.65.28,4,4,0.00,259.76,0.00
104.20.125.28,4,4,0.00,259.84,0.00
104.19.230.28,4,4,0.00,259.86,0.00
104.28.221.28,4,4,0.00,259.86,0.00
104.19.228.28,4,4,0.00,260.17,0.00
104.19.219.28,4,4,0.00,260.38,0.00
104.21.193.28,4,4,0.00,260.39,0.00
104.19.234.28,4,4,0.00,260.44,0.00
104.19.210.28,4,4,0.00,260.54,0.00
104.19.208.28,4,4,0.00,260.58,0.00
104.19.209.28,4,4,0.00,260.84,0.00
104.18.28.28,4,4,0.00,260.97,0.00
104.20.90.28,4,4,0.00,261.06,0.00
104.19.224.28,4,4,0.00,261.18,0.00
104.18.27.28,4,4,0.00,261.22,0.00
104.28.65.28,4,4,0.00,261.27,0.00
104.20.112.28,4,4,0.00,261.30,0.00
104.28.85.28,4,4,0.00,261.33,0.00
104.28.234.28,4,4,0.00,261.36,0.00
104.21.210.28,4,4,0.00,261.49,0.00
104.20.130.28,4,4,0.00,261.54,0.00
104.19.197.28,4,4,0.00,261.54,0.00
104.28.116.28,4,4,0.00,261.83,0.00
104.22.27.28,4,4,0.00,261.86,0.00
104.19.199.28,4,4,0.00,262.03,0.00
104.22.26.28,4,4,0.00,262.11,0.00
104.20.69.28,4,4,0.00,262.20,0.00
104.19.194.28,4,4,0.00,262.28,0.00
104.20.114.28,4,4,0.00,262.31,0.00
104.28.237.28,4,4,0.00,262.39,0.00
104.20.43.28,4,4,0.00,262.62,0.00
104.28.236.28,4,4,0.00,262.90,0.00
104.19.200.28,4,4,0.00,262.92,0.00
104.22.18.28,4,4,0.00,263.07,0.00
104.18.2.28,4,4,0.00,263.22,0.00
104.20.16.28,4,4,0.00,263.24,0.00
104.19.187.28,4,4,0.00,263.28,0.00
104.19.133.28,4,4,0.00,263.51,0.00
104.19.134.28,4,4,0.00,263.69,0.00
104.19.185.28,4,4,0.00,263.86,0.00
104.19.182.28,4,4,0.00,264.02,0.00
104.19.188.28,4,4,0.00,264.15,0.00
104.21.223.28,4,4,0.00,264.20,0.00
104.21.218.28,4,4,0.00,264.71,0.00
104.19.189.28,4,4,0.00,265.16,0.00
104.20.17.28,4,4,0.00,265.28,0.00
104.28.230.28,4,4,0.00,265.39,0.00
104.19.181.28,4,4,0.00,266.00,0.00
104.20.18.28,4,4,0.00,266.06,0.00
104.19.128.28,4,4,0.00,266.11,0.00
104.19.129.28,4,4,0.00,266.12,0.00
104.19.131.28,4,4,0.00,266.50,0.00
104.20.239.28,4,4,0.00,266.68,0.00
104.20.224.28,4,4,0.00,267.17,0.00
104.20.234.28,4,4,0.00,267.43,0.00
104.16.185.28,4,4,0.00,267.72,0.00
104.20.223.28,4,4,0.00,268.18,0.00
104.28.233.28,4,4,0.00,268.32,0.00
104.19.231.28,4,4,0.00,268.48,0.00
104.16.180.28,4,4,0.00,268.95,0.00
104.19.120.28,4,4,0.00,269.21,0.00
104.21.213.28,4,4,0.00,269.33,0.00
104.16.181.28,4,4,0.00,269.44,0.00
104.16.179.28,4,4,0.00,269.46,0.00
104.16.182.28,4,4,0.00,269.70,0.00
104.21.112.28,4,4,0.00,270.17,0.00
104.21.238.28,4,4,0.00,273.10,0.00
104.21.66.28,4,4,0.00,273.15,0.00
104.21.76.28,4,4,0.00,273.75,0.00
104.21.103.28,4,4,0.00,274.49,0.00
104.21.102.28,4,4,0.00,274.53,0.00
104.21.62.28,4,4,0.00,274.93,0.00
104.17.225.28,4,4,0.00,274.97,0.00
104.18.175.28,4,4,0.00,275.04,0.00
104.16.189.28,4,4,0.00,275.13,0.00
104.18.173.28,4,4,0.00,275.36,0.00
104.21.237.28,4,4,0.00,275.40,0.00
104.17.228.28,4,4,0.00,275.46,0.00
104.21.65.28,4,4,0.00,275.72,0.00
104.17.229.28,4,4,0.00,275.96,0.00
104.21.92.28,4,4,0.00,276.06,0.00
104.17.233.28,4,4,0.00,276.21,0.00
104.17.231.28,4,4,0.00,276.21,0.00
104.17.238.28,4,4,0.00,276.70,0.00
104.17.235.28,4,4,0.00,276.71,0.00
104.17.224.28,4,4,0.00,276.96,0.00
104.17.237.28,4,4,0.00,276.96,0.00
104.17.239.28,4,4,0.00,277.46,0.00
104.21.94.28,4,4,0.00,277.87,0.00
104.17.236.28,4,4,0.00,277.95,0.00
104.17.230.28,4,4,0.00,277.95,0.00
104.17.232.28,4,4,0.00,277.95,0.00
104.17.234.28,4,4,0.00,277.96,0.00
104.21.236.28,4,4,0.00,278.12,0.00
104.27.202.28,4,4,0.00,278.49,0.00
104.21.235.28,4,4,0.00,278.58,0.00
104.17.227.28,4,4,0.00,278.70,0.00
104.21.239.28,4,4,0.00,278.89,0.00
104.21.56.28,4,4,0.00,279.35,0.00
104.21.54.28,4,4,0.00,279.81,0.00
141.101.120.28,4,4,0.00,280.10,0.00
104.21.51.28,4,4,0.00,281.16,0.00
104.23.117.28,4,4,0.00,282.24,0.00
104.21.231.28,4,4,0.00,282.33,0.00
104.21.234.28,4,4,0.00,283.05,0.00
104.21.232.28,4,4,0.00,283.31,0.00
104.21.229.28,4,4,0.00,284.59,0.00
104.21.230.28,4,4,0.00,285.32,0.00
104.18.233.28,4,4,0.00,286.09,0.00
104.18.231.28,4,4,0.00,287.33,0.00
104.18.228.28,4,4,0.00,287.95,0.00
104.23.119.28,4,4,0.00,288.04,0.00
104.18.32.28,4,4,0.00,288.55,0.00
104.21.224.28,4,4,0.00,288.57,0.00
104.18.179.28,4,4,0.00,289.12,0.00
104.21.227.28,4,4,0.00,289.28,0.00
104.18.16.28,4,4,0.00,289.34,0.00
104.18.35.28,4,4,0.00,289.46,0.00
104.23.114.28,4,4,0.00,289.65,0.00
104.18.225.28,4,4,0.00,289.70,0.00
104.16.177.28,4,4,0.00,290.64,0.00
104.21.226.28,4,4,0.00,290.91,0.00
104.21.228.28,4,4,0.00,291.28,0.00
104.16.178.28,4,4,0.00,291.63,0.00
104.18.216.28,4,4,0.00,291.96,0.00
104.16.222.28,4,4,0.00,292.44,0.00
104.16.223.28,4,4,0.00,293.44,0.00
104.16.176.28,4,4,0.00,293.56,0.00
104.23.109.28,4,4,0.00,293.99,0.00
104.28.55.28,4,4,0.00,294.45,0.00
104.18.227.28,4,4,0.00,294.50,0.00
104.28.78.28,4,4,0.00,294.51,0.00
104.23.104.28,4,4,0.00,296.36,0.00
104.18.162.28,4,4,0.00,297.40,0.00
104.18.76.28,4,4,0.00,297.72,0.00
104.18.68.28,4,4,0.00,297.88,0.00
104.18.78.28,4,4,0.00,298.01,0.00
104.18.164.28,4,4,0.00,298.64,0.00
104.18.212.28,4,4,0.00,298.68,0.00
104.18.74.28,4,4,0.00,298.77,0.00
104.18.165.28,4,4,0.00,298.89,0.00
104.18.65.28,4,4,0.00,299.03,0.00
104.18.55.28,4,4,0.00,299.38,0.00
104.18.48.28,4,4,0.00,299.60,0.00
104.18.160.28,4,4,0.00,299.89,0.00
104.18.72.28,4,4,0.00,300.02,0.00
104.27.183.28,4,4,0.00,300.34,0.00
104.18.77.28,4,4,0.00,300.51,0.00
104.18.158.28,4,4,0.00,300.77,0.00
104.27.152.28,4,4,0.00,300.98,0.00
104.18.147.28,4,4,0.00,301.26,0.00
104.18.73.28,4,4,0.00,301.27,0.00
104.18.128.28,4,4,0.00,301.28,0.00
104.18.64.28,4,4,0.00,301.33,0.00
104.18.153.28,4,4,0.00,301.51,0.00
104.18.66.28,4,4,0.00,301.58,0.00
104.18.52.28,4,4,0.00,301.67,0.00
104.18.70.28,4,4,0.00,301.83,0.00
104.18.145.28,4,4,0.00,302.27,0.00
104.18.60.28,4,4,0.00,302.72,0.00
104.18.132.28,4,4,0.00,303.01,0.00
104.18.58.28,4,4,0.00,303.54,0.00
104.18.183.28,4,4,0.00,304.61,0.00
104.18.119.28,4,4,0.00,304.72,0.00
104.18.54.28,4,4,0.00,304.87,0.00
104.18.141.28,4,4,0.00,305.76,0.00
104.18.152.28,4,4,0.00,306.01,0.00
104.27.181.28,4,4,0.00,306.14,0.00
104.18.39.28,4,4,0.00,306.45,0.00
104.18.143.28,4,4,0.00,306.50,0.00
104.18.127.28,4,4,0.00,307.00,0.00
104.18.79.28,4,4,0.00,307.07,0.00
104.18.123.28,4,4,0.00,308.23,0.00
104.18.161.28,4,4,0.00,308.29,0.00
104.18.122.28,4,4,0.00,308.47,0.00
104.27.42.28,4,4,0.00,309.25,0.00
104.27.165.28,4,4,0.00,309.89,0.00
104.18.121.28,4,4,0.00,309.95,0.00
104.18.42.28,4,4,0.00,310.12,0.00
104.18.53.28,4,4,0.00,310.12,0.00
104.18.69.28,4,4,0.00,310.35,0.00
104.18.41.28,4,4,0.00,310.37,0.00
104.18.117.28,4,4,0.00,310.75,0.00
104.18.67.28,4,4,0.00,310.85,0.00
104.18.206.28,4,4,0.00,310.89,0.00
104.18.115.28,4,4,0.00,311.51,0.00
104.18.200.28,4,4,0.00,312.25,0.00
104.18.113.28,4,4,0.00,312.28,0.00
104.18.112.28,4,4,0.00,312.32,0.00
104.18.205.28,4,4,0.00,313.10,0.00
104.18.191.28,4,4,0.00,313.38,0.00
104.18.203.28,4,4,0.00,313.57,0.00
104.27.41.28,4,4,0.00,313.89,0.00
104.23.140.28,4,4,0.00,315.98,0.00
104.23.137.28,4,4,0.00,315.99,0.00
104.23.135.28,4,4,0.00,316.24,0.00
104.18.196.28,4,4,0.00,317.42,0.00
104.18.6.28,4,4,0.00,319.24,0.00
104.27.143.28,4,4,0.00,319.47,0.00
104.18.9.28,4,4,0.00,319.99,0.00
104.18.193.28,4,4,0.00,320.02,0.00
104.18.192.28,4,4,0.00,320.33,0.00
104.27.142.28,4,4,0.00,320.74,0.00
104.18.189.28,4,4,0.00,322.32,0.00
104.18.11.28,4,4,0.00,324.49,0.00
104.23.134.28,4,4,0.00,324.62,0.00
104.18.186.28,4,4,0.00,324.64,0.00
104.18.14.28,4,4,0.00,324.99,0.00
104.23.133.28,4,4,0.00,325.03,0.00
104.18.5.28,4,4,0.00,326.01,0.00
104.18.13.28,4,4,0.00,326.29,0.00
104.27.17.28,4,4,0.00,326.62,0.00
104.18.0.28,4,4,0.00,327.23,0.00
104.27.140.28,4,4,0.00,327.29,0.00
104.27.127.28,4,4,0.00,327.37,0.00
104.27.141.28,4,4,0.00,327.54,0.00
104.27.132.28,4,4,0.00,327.79,0.00
104.27.138.28,4,4,0.00,328.04,0.00
104.27.134.28,4,4,0.00,328.54,0.00
104.27.131.28,4,4,0.00,328.54,0.00
104.27.139.28,4,4,0.00,328.78,0.00
104.27.135.28,4,4,0.00,328.79,0.00
104.27.137.28,4,4,0.00,329.04,0.00
104.27.14.28,4,4,0.00,329.74,0.00
104.27.136.28,4,4,0.00,329.79,0.00
104.27.68.28,4,4,0.00,330.10,0.00
104.27.130.28,4,4,0.00,330.16,0.00
104.27.133.28,4,4,0.00,330.29,0.00
104.27.129.28,4,4,0.00,330.42,0.00
104.27.15.28,4,4,0.00,330.73,0.00
104.27.128.28,4,4,0.00,331.17,0.00
104.16.77.28,4,4,0.00,333.20,0.00
104.16.139.28,4,4,0.00,333.95,0.00
104.16.134.28,4,4,0.00,334.71,0.00
104.27.118.28,4,4,0.00,334.74,0.00
104.16.63.28,4,4,0.00,335.20,0.00
104.27.122.28,4,4,0.00,335.58,0.00
104.16.76.28,4,4,0.00,335.69,0.00
104.16.30.28,4,4,0.00,335.94,0.00
104.16.52.28,4,4,0.00,336.18,0.00
104.16.143.28,4,4,0.00,336.19,0.00
104.27.3.28,4,4,0.00,336.47,0.00
104.16.142.28,4,4,0.00,336.69,0.00
104.16.140.28,4,4,0.00,336.94,0.00
104.16.136.28,4,4,0.00,337.19,0.00
162.159.208.28,4,4,0.00,337.20,0.00
104.16.60.28,4,4,0.00,337.43,0.00
104.18.7.28,4,4,0.00,337.56,0.00
104.16.130.28,4,4,0.00,337.69,0.00
104.18.8.28,4,4,0.00,337.81,0.00
104.16.72.28,4,4,0.00,337.94,0.00
104.18.15.28,4,4,0.00,338.06,0.00
162.159.227.28,4,4,0.00,338.19,0.00
104.16.28.28,4,4,0.00,338.19,0.00
104.16.49.28,4,4,0.00,338.93,0.00
